id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,strat_label
14836,Men,Accessories,Belts,Belts,Black,Summer,2011.0,Casual,United Colors of Benetton Men Stripes Black Belt,Belts
48794,Women,Accessories,Jewellery,Pendant,Silver,Summer,2013.0,Casual,Lucera Women Silver Pendant with Chain,Pendant
25638,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Fastrack Women Silver Casual Watch,Watches
6438,Women,Footwear,Flip Flops,Flip Flops,Purple,Summer,2011.0,Casual,Lotto Women's Hawaian Palms Purple Yellow Flip Flop,Flip Flops
24816,Women,Apparel,Topwear,Tops,Blue,Fall,2011.0,Casual,Arrow Women Blue Tops,Tops
44766,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Globalite Men Black & Grey Eclipse Shoes,Casual Shoes
12601,Unisex,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Tantra Unisex Printed Red Tshirts,Tshirts
50710,Women,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Latin Quarters Women Black Top,Tops
34734,Women,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Puma Women Osuran White Sports Shoes,Sports Shoes
5559,Men,Apparel,Topwear,Jackets,Yellow,Summer,2011.0,Casual,Reebok Men Reversible Blue & Yellow Jacket,Jackets
36287,Women,Apparel,Loungewear and Nightwear,Night suits,Blue,Summer,2017.0,Casual,SDL by Sweet Dreams Women Blue Night suits,Night suits
37058,Women,Accessories,Belts,Belts,Red,Summer,2012.0,Casual,Lino Perros Women Red Belt,Belts
10056,Men,Apparel,Bottomwear,Tracksuits,Black,Fall,2011.0,Sports,ADIDAS Men Cfc Pes Black Tracksuits,Tracksuits
38754,Women,Accessories,Bags,Handbags,Green,Summer,2012.0,Casual,Nike Women Green Sling Bag,Handbags
7493,Women,Apparel,Bottomwear,Capris,Purple,Summer,2011.0,Sports,Nike Women Squad Purple Capri,Capris
48950,Men,Accessories,Jewellery,Ring,Steel,Summer,2013.0,Casual,Revv Men Steel Ring,Ring
24113,Men,Footwear,Flip Flops,Flip Flops,Green,Summer,2012.0,Casual,Playboy Men Green Flip Flops,Flip Flops
41671,Women,Footwear,Shoes,Heels,Gold,Winter,2012.0,Casual,Catwalk Women Gold Heels,Heels
54017,Women,Accessories,Bags,Handbags,Grey,Summer,2012.0,Casual,Kiara Women Grey Handbag,Handbags
45206,Women,Accessories,Watches,Watches,Blue,Winter,2016.0,Casual,CASIO ENTICER Women Blue Dial Analogue Watch A66,Watches
6278,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,UCB Men's Saxophone White T-shirt,Tshirts
41678,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,Catwalk Women Black Heels,Heels
31831,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Titan Men Chronograph Black Dial Watch,Watches
12598,Unisex,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Tantra Unisex Printed Orange Tshirts,Tshirts
9261,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Formal,Mark Taylor Men Red Striped Shirt,Shirts
6656,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011.0,Sports,Nike Men's Marquis Black Shoe,Sports Shoes
20176,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,Wrangler Men Vintage Grey Shirt,Shirts
26169,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Formal,John Miller Men Black Trousers,Trousers
38832,Women,Apparel,Dress,Dresses,White,Summer,2012.0,Casual,Latin Quarters Women White & Pink Printed Dress,Dresses
11583,Women,Apparel,Topwear,Kurtas,White,Summer,2011.0,Ethnic,W Women Printed White Kurtas,Kurtas
50467,Men,Apparel,Innerwear,Trunk,Charcoal,Winter,2016.0,Casual,Chromozome Men Charcoal Trunks,Trunk
14112,Men,Apparel,Topwear,Sweatshirts,Green,Fall,2011.0,Casual,Flying Machine Men Printed Green Sweatshirts,Sweatshirts
22259,Women,Footwear,Shoes,Heels,Pink,Winter,2012.0,Casual,Inc.5 Women Pink Casual Heels,Heels
28209,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Ray-Ban Men High Street Black Sunglasses,Sunglasses
58319,Men,Accessories,Socks,Socks,White,Summer,2016.0,Sports,Jockey LCESCBRA Men White Pack of 3 Socks 2004,Socks
28143,Men,Apparel,Bottomwear,Shorts,Navy Blue,Fall,2016.0,Casual,Jockey 24 x 7 Men Navy Blue Knit Sport Shorts 9426,Shorts
20891,Men,Footwear,Shoes,Casual Shoes,Green,Fall,2011.0,Casual,Basics Men Green Casual Shoes,Casual Shoes
35099,Women,Accessories,Stoles,Stoles,Blue,Spring,2013.0,Casual,Allen Solly Women Blue Stole,Stoles
10488,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Flying Machine Blue Jeans,Jeans
5821,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Sports,Puma Men's Ferrari Logo Red T-shirt,Tshirts
59377,Women,Apparel,Topwear,Kurtas,White,Summer,2012.0,Ethnic,Vishudh Women White Printed Kurta,Kurtas
17817,Men,Footwear,Sandal,Sandals,Black,Fall,2011.0,Casual,Lee Cooper Men  Black Sandal,Sandals
36749,Girls,Apparel,Dress,Dresses,White,Summer,2012.0,Casual,Little Miss Girls Trying White Dress,Dresses
9029,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2011.0,Casual,Buckaroo Men Mairin Brown Casual Shoes,Casual Shoes
2109,Women,Apparel,Bottomwear,Track Pants,Black,Fall,2010.0,Sports,ADIDAS Women's Slim Fit Lycra Track Pants,Track Pants
30280,Men,Accessories,Eyewear,Sunglasses,White,Summer,2017.0,Casual,Speedo Men Sheet Sunglasses,Sunglasses
41251,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Formal,Arrow Men Black & Brown Reversible Belt,Belts
19672,Women,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Women Blue Printed T-shirt,Tshirts
20491,Women,Accessories,Bags,Handbags,Maroon,Winter,2015.0,Casual,Baggit Women Knotty Taj Maroon Handbag,Handbags
47342,Women,Accessories,Bags,Handbags,Teal,Summer,2012.0,Casual,Baggit Women Teal Bag,Handbags
22796,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Manchester United Men Green Tshirt,Tshirts
42816,Women,Apparel,Innerwear,Briefs,Grey,Summer,2012.0,Casual,Little Miss Intimates Women Grey Brief,Briefs
56516,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,,Streetwear Luscious Lips Pink Wood Lipstick 05,Lipstick
6577,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Sports,Nike Men Arsenal Home Stadium Red Jersey,Tshirts
46679,Women,Personal Care,Fragrance,Perfume and Body Mist,Peach,Spring,2017.0,Casual,Rasasi Women Pack of 3 Perfumes,Perfume and Body Mist
12502,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,United Colors of Benetton Men Short Red Tshirts,Tshirts
8793,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Scullers Men Red & Blue Check Shirt,Shirts
